N,collisions,load factor
14980000,166,0.004644058744993324
15050000,173,0.004622458471760797
15120000,179,0.004601058201058201
15190000,191,0.004579855167873601
15260000,156,0.004558846657929227
15330000,159,0.004538030006523157
15400000,178,0.004517402597402597
15470000,179,0.004496961861667744
15540000,187,0.004476705276705277
15610000,162,0.004456630365150545
15680000,170,0.004436734693877551
15750000,159,0.004417015873015873
15820000,182,0.004397471554993679
15890000,188,0.004378099433606042
15960000,174,0.00435889724310777
16030000,151,0.004339862757330006
16100000,153,0.004320993788819876
16170000,162,0.004302288188002473
16240000,158,0.004283743842364532
16310000,146,0.0042653586756591045
16380000,153,0.004247130647130647
16450000,129,0.004229057750759878
16520000,162,0.004211138014527845
16590000,141,0.004193369499698614
16660000,143,0.004175750300120048
16730000,152,0.00415827854154214
16800000,124,0.004140952380952381
16870000,147,0.0041237700059276825
16940000,139,0.004106729634002361
17010000,123,0.004089829512051734
17080000,175,0.0040730679156908665
17150000,145,0.004056443148688047
17220000,166,0.004039953542392566
17290000,129,0.004023597455176403
17360000,150,0.004007373271889401
17430000,115,0.0039912794033275965
17500000,156,0.003975314285714285
17570000,142,0.003959476380193512
17640000,150,0.003943764172335601
17710000,160,0.003928176171654432
17780000,134,0.003912710911136108
17850000,152,0.0038973669467787116
17920000,172,0.003882142857142857
17990000,143,0.0038670372429127292
18060000,133,0.003852048726467331
18130000,180,0.003837175951461666
18200000,143,0.0038224175824175823
18270000,139,0.0038077723043240283
18340000,150,0.003793238822246456
18410000,129,0.0037788158609451386
18480000,141,0.0037645021645021644
18550000,153,0.0037502964959568734
18620000,140,0.0037361976369495167
18690000,125,0.0037222043873729265
18760000,140,0.003708315565031983
18830000,148,0.0036945300053106743
18900000,149,0.003680846560846561
18970000,127,0.0036672641012124407
19040000,122,0.0036537815126050422
19110000,122,0.0036403976975405545
19180000,146,0.00362711157455683
19250000,125,0.003613922077922078
19320000,160,0.0036008281573498965
19390000,134,0.0035878287777204743
19460000,132,0.003574922918807811
19530000,148,0.0035621095750128008
19600000,130,0.003549387755102041
19670000,129,0.0035367564819522115
19740000,138,0.0035242147922998988
19810000,128,0.003511761736496719
19880000,164,0.0034993963782696176
19950000,138,0.0034871177944862156
20020000,113,0.003474925074925075
20090000,134,0.0034628173220507714
20160000,123,0.003450793650793651
20230000,126,0.0034388531883341573
20300000,136,0.0034269950738916254
20370000,124,0.0034152184585174274
20440000,107,0.003403522504892368
20510000,124,0.00339190638712823
20580000,117,0.003380369290573372
20650000,138,0.003368910411622276
20720000,122,0.0033575289575289574
20790000,137,0.003346224146224146
20860000,116,0.003334995206136146
20930000,116,0.003323841376015289
21000000,117,0.0033127619047619047
21070000,119,0.0033017560512577124
21140000,114,0.0032908230842005675
21210000,145,0.0032799622819424798
21280000,125,0.003269172932330827
21350000,133,0.0032584543325526933
21420000,126,0.0032478057889822596
21490000,120,0.003237226617031177
21560000,116,0.0032267161410018553
21630000,143,0.003216273693943597
21700000,113,0.0032058986175115206
21770000,129,0.003195590261828204
21840000,123,0.0031853479853479853
21910000,120,0.0031751711547238705
21980000,121,0.003165059144676979
22050000,114,0.0031550113378684807
22120000,110,0.00314502712477396
22190000,135,0.003135105903560162
22260000,132,0.0031252470799640612
22330000,128,0.003115450067174205
22400000,111,0.003105714285714286
22470000,111,0.003096039163328883
22540000,129,0.0030864241348713397
22610000,137,0.0030768686421937196
22680000,113,0.0030673721340388005
22750000,106,0.003057934065934066
22820000,124,0.0030485539000876423
22890000,117,0.003039231105286151
22960000,120,0.003029965156794425
23030000,118,0.003020755536257056
23100000,115,0.0030116017316017315
23170000,119,0.0030025032369443245
23240000,110,0.002993459552495697
23310000,131,0.0029844701844701843
23380000,116,0.002975534644995723
23450000,106,0.0029666524520255864
23520000,124,0.0029578231292517005
23590000,119,0.0029490462060195
23660000,109,0.0029403212172442942
23730000,123,0.0029316477033291192
23800000,109,0.0029230252100840336
23870000,129,0.002914453288646837
23940000,121,0.0029059314954051796
24010000,117,0.002897459391920033
24080000,107,0.0028890365448504983
24150000,119,0.0028806625258799173
24220000,98,0.00287233691164327
24290000,103,0.0028640592836558254
24360000,103,0.0028558292282430215
24430000,95,0.0028476463364715513
24500000,115,0.0028395102040816326
24570000,103,0.0028314204314204314
24640000,111,0.002823376623376623
24710000,96,0.0028153783893160663
24780000,112,0.0028074253430185633
24850000,123,0.0027995171026156942
24920000,115,0.002791653290529695
24990000,97,0.0027838335334133654
25060000,103,0.0027760574620909815
25130000,92,0.002768324711500199
25200000,103,0.002760634920634921
25270000,109,0.0027529877324891177
25340000,106,0.0027453827940015787
25410000,105,0.002737819756001574
25480000,100,0.002730298273155416
25550000,92,0.0027228180039138945
25620000,123,0.0027153786104605775
25690000,122,0.0027079797586609575
25760000,112,0.002700621118012422
25830000,102,0.0026933023615950446
25900000,82,0.002686023166023166
25970000,101,0.0026787832113977666
26040000,121,0.0026715821812596007
26110000,105,0.0026644197625430867
26180000,98,0.0026572956455309395
26250000,105,0.0026502095238095237
26320000,96,0.002643161094224924
26390000,100,0.002636150056839712
26460000,92,0.0026291761148904006
26530000,91,0.002622238974745571
26600000,104,0.0026153383458646616
26670000,101,0.002608473940757405
26740000,102,0.002601645474943904
26810000,100,0.00259485266691533
26880000,105,0.0025880952380952383
26950000,95,0.0025813729128014843
27020000,115,0.0025746854182087343
27090000,87,0.002568032484311554
27160000,106,0.0025614138438880708
27230000,109,0.002554829232464194
27300000,105,0.0025482783882783883
27370000,105,0.002541761052246986
27440000,84,0.002535276967930029
27510000,97,0.002528825881497637
27580000,106,0.0025224075416968817
27650000,90,0.002516021699819168
27720000,102,0.0025096681096681097
27790000,101,0.0025033465275278877
27860000,77,0.002497056712132089
27930000,97,0.0024907984246330113
28000000,93,0.0024845714285714284
28070000,99,0.0024783754898468117
28140000,102,0.002472210376687989
28210000,88,0.0024660758596242466
28280000,111,0.00245997171145686
28350000,97,0.0024538977072310407
28420000,121,0.002447853624208304
28490000,96,0.0024418392418392417
28560000,98,0.002435854341736695
28630000,109,0.0024298987076493187
28700000,96,0.00242397212543554
28770000,89,0.0024180743830378867
28840000,116,0.0024122052704576976
28910000,93,0.0024063645797301973
28980000,101,0.002400552104899931
29050000,90,0.002394767641996558
29120000,90,0.002389010989010989
29190000,81,0.002383281945871874
29260000,88,0.0023775803144224198
29330000,101,0.0023719058983975453
29400000,85,0.0023662585034013605
29470000,88,0.0023606379368849677
29540000,90,0.0023550440081245767
29610000,83,0.0023494765281999327
29680000,96,0.0023439353099730456
29750000,85,0.0023384201680672267
29820000,89,0.0023329309188464117
29890000,104,0.002327467380394781
29960000,98,0.002322029372496662
30030000,95,0.0023166167166167166
30100000,94,0.0023112292358803987
30170000,86,0.00230586675505469
30240000,81,0.0023005291005291006
30310000,89,0.002295216100296932
30380000,86,0.0022899275839368006
30450000,86,0.0022846633825944172
30520000,87,0.0022794233289646134
30590000,82,0.002274207257273619
30660000,86,0.0022690150032615786
30730000,88,0.002263846404165311
30800000,98,0.0022587012987012986
30870000,74,0.002253579527048915
30940000,103,0.002248480930833872
31010000,74,0.0022434053531118995
31080000,103,0.0022383526383526384
31150000,100,0.002233322632423756
31220000,92,0.0022283151825752724
31290000,79,0.002223330137424097
31360000,102,0.0022183673469387756
31430000,89,0.0022134266624244353
31500000,90,0.0022085079365079365
31570000,100,0.002203611023123218
31640000,101,0.0021987357774968393
31710000,87,0.0021938820561337117
31780000,109,0.002189049716803021
31850000,81,0.0021842386185243327
31920000,88,0.002179448621553885
31990000,81,0.0021746795873710534
32060000,92,0.002169931378665003
32130000,88,0.0021652038593215064
32200000,82,0.002160496894409938
32270000,88,0.002155810350170437
32340000,81,0.0021511440940012367
32410000,88,0.0021464979944461585
32480000,76,0.002141871921182266
32550000,96,0.0021372657450076803
32620000,83,0.0021326793378295523
32690000,90,0.002128112572652187
32760000,88,0.0021235653235653234
32830000,67,0.0021190374657325617
32900000,75,0.002114528875379939
32970000,69,0.002110039429784653
33040000,91,0.0021055690072639224
33110000,94,0.002101117487163999
33180000,70,0.002096684749849307
33250000,86,0.0020922706766917294
33320000,69,0.002087875150060024
33390000,92,0.002083498053309374
33460000,86,0.00207913927077107
33530000,69,0.0020747986877423202
33600000,69,0.0020704761904761903
33670000,92,0.0020661716661716663
33740000,73,0.0020618850029638413
33810000,89,0.0020576160899142266
33880000,72,0.0020533648170011805
33950000,90,0.0020491310751104565
34020000,64,0.002044914756025867
34090000,79,0.0020407157524200644
34160000,97,0.0020365339578454333
34230000,98,0.002032369266725095
34300000,71,0.0020282215743440235
34370000,108,0.0020240907768402676
34440000,97,0.002019976771196283
34510000,65,0.002015879455230368
34580000,69,0.0020117987275882015
34650000,83,0.002007734487734488
34720000,92,0.0020036866359447003
34790000,91,0.0019996550732969244
34860000,64,0.0019956397016637983
34930000,74,0.001991640423704552
35000000,85,0.0019876571428571427
35070000,75,0.001983689763330482
35140000,83,0.001979738190096756
35210000,81,0.00197580232888384
35280000,70,0.0019718820861678006
35350000,81,0.0019679773691654878
35420000,86,0.001964088085827216
35490000,82,0.0019602141448295295
35560000,77,0.001956355455568054
35630000,80,0.001952511928150435
35700000,82,0.0019486834733893558
35770000,72,0.0019448700027956387
35840000,86,0.0019410714285714285
35910000,74,0.001937287663603453
35980000,74,0.0019335186214563646
36050000,90,0.001929764216366158
36120000,79,0.0019260243632336655
36190000,77,0.0019222989776181267
36260000,104,0.001918587975730833
36330000,89,0.0019148912744288468
36400000,72,0.0019112087912087912
36470000,80,0.001907540444200713
36540000,66,0.0019038861521620141
36610000,68,0.001900245834471456
36680000,72,0.001896619411123228
36750000,84,0.0018930068027210884
36820000,69,0.0018894079304725693
36890000,78,0.0018858227161832476
36960000,67,0.0018822510822510822
37030000,78,0.0018786929516608156
37100000,87,0.0018751482479784367
37170000,86,0.0018716168953457088
37240000,76,0.0018680988184747583
37310000,89,0.001864593942642723
37380000,61,0.0018611021936864632
37450000,69,0.0018576234979973299
37520000,75,0.0018541577825159914
37590000,67,0.001850704974727321
37660000,88,0.0018472650026553372
37730000,63,0.001843837794858203
37800000,79,0.0018404232804232804
37870000,62,0.0018370213889622392
37940000,69,0.0018336320506062204
38010000,58,0.0018302551960010524
38080000,61,0.0018268907563025211
38150000,75,0.0018235386631716907
38220000,74,0.0018201988487702772
38290000,63,0.001816871245756072
38360000,76,0.001813555787278415
38430000,85,0.0018102524069737184
38500000,61,0.001806961038961039
38570000,69,0.0018036816178376978
38640000,82,0.0018004140786749482
38710000,59,0.0017971583570136915
38780000,79,0.0017939143888602372
38850000,75,0.0017906821106821106
38920000,73,0.0017874614594039055
38990000,54,0.0017842523724031804
39060000,73,0.0017810547875064004
39130000,67,0.001777868642984922
39200000,73,0.0017746938775510205
39270000,62,0.0017715304303539598
39340000,72,0.0017683782409761057
39410000,75,0.001765237249429079
39480000,70,0.0017621073961499494
39550000,74,0.0017589886219974715
39620000,71,0.0017558808682483595
39690000,61,0.0017527840765936005
39760000,91,0.0017496981891348088
39830000,71,0.0017466231483806176
39900000,80,0.0017435588972431078
39970000,59,0.0017405053790342758
40040000,58,0.0017374625374625375
40110000,59,0.0017344303166292696
40180000,76,0.0017314086610253857
40250000,71,0.0017283975155279504
40320000,71,0.0017253968253968255
40390000,76,0.0017224065362713543
40460000,70,0.0017194265941670786
40530000,75,0.0017164569454724895
40600000,70,0.0017134975369458127
40670000,72,0.0017105483157118268
40740000,75,0.0017076092292587137
40810000,79,0.0017046802254349425
40880000,54,0.001701761252446184
40950000,67,0.001698852258852259
41020000,60,0.001695953193564115
41090000,65,0.0016930640058408371
41160000,61,0.001690184645286686
41230000,69,0.0016873150618481687
41300000,65,0.001684455205811138
41370000,70,0.0016816050277979212
41440000,69,0.0016787644787644787
41510000,74,0.001675933509997591
41580000,65,0.001673112073112073
41650000,62,0.0016703001200480193
41720000,65,0.001667497603068073
41790000,59,0.001664704474754726
41860000,62,0.0016619206880076445
41930000,58,0.0016591461960410207
42000000,63,0.0016563809523809524
42070000,68,0.0016536249108628476
42140000,70,0.0016508780256288562
42210000,65,0.0016481402511253258
42280000,68,0.0016454115421002838
42350000,66,0.0016426918536009444
42420000,76,0.0016399811409712399
42490000,55,0.0016372793598493764
42560000,61,0.0016345864661654135
42630000,84,0.0016319024161388694
42700000,65,0.0016292271662763467
42770000,72,0.001626560673369184
42840000,64,0.0016239028944911298
42910000,66,0.0016212537869960382
42980000,66,0.0016186133085155886
43050000,62,0.0016159814169570267
43120000,60,0.0016133580705009276
43190000,56,0.0016107432275989813
43260000,79,0.0016081368469717985
43330000,63,0.001605538887606739
43400000,60,0.0016029493087557603
43470000,68,0.0016003680699332873
43540000,69,0.001597795130914102
43610000,57,0.0015952304517312544
43680000,59,0.0015926739926739927
43750000,73,0.0015901257142857143
43820000,70,0.0015875855773619353
43890000,72,0.0015850535429482798
43960000,68,0.0015825295723384896
44030000,62,0.0015800136270724505
44100000,57,0.0015775056689342403
44170000,58,0.0015750056599501923
44240000,56,0.00157251356238698
44310000,59,0.0015700293387497179
44380000,67,0.001567552951780081
44450000,64,0.0015650843644544432
44520000,60,0.0015626235399820306
44590000,58,0.0015601704418030948
44660000,69,0.0015577250335871025
44730000,65,0.0015552872792309411
44800000,57,0.001552857142857143
44870000,67,0.001550434588812124
44940000,56,0.0015480195816644415
45010000,58,0.001545612086203066
45080000,89,0.0015432120674356699
45150000,64,0.0015408194905869325
45220000,83,0.0015384343210968598
45290000,68,0.0015360565246191212
45360000,69,0.0015336860670194003
45430000,64,0.001531322914373762
45500000,59,0.001528967032967033
45570000,76,0.0015266183892912004
45640000,82,0.0015242769500438211
45710000,57,0.0015219426821264494
45780000,53,0.0015196155526430756
45850000,65,0.0015172955288985824
45920000,71,0.0015149825783972125
45990000,67,0.0015126766688410523
46060000,74,0.001510377768128528
46130000,53,0.0015080858443529156
46200000,60,0.0015058008658008657
46270000,57,0.00150352280095094
46340000,66,0.0015012516184721623
46410000,65,0.0014989872872225812
46480000,68,0.0014967297762478486
46550000,72,0.0014944790547798067
46620000,74,0.0014922350922350921
46690000,61,0.0014899978582137503
46760000,73,0.0014877673224978614
46830000,60,0.0014855434550501815
46900000,54,0.0014833262260127932
46970000,58,0.0014811156057057697
47040000,75,0.0014789115646258503
47110000,58,0.0014767140734451285
47180000,64,0.00147452310300975
47250000,60,0.0014723386243386243
47320000,55,0.0014701606086221471
47390000,49,0.0014679890272209326
47460000,71,0.0014658238516645596
47530000,60,0.0014636650536503262
47600000,66,0.0014615126050420168
47670000,53,0.0014593664778686805
47740000,68,0.0014572266443234185
47810000,66,0.0014550930767621836
47880000,62,0.0014529657477025898
47950000,64,0.001450844629822732
48020000,66,0.0014487296959600166
48090000,55,0.001446620919110002
48160000,58,0.0014445182724252491
48230000,53,0.001442421729214182
48300000,72,0.0014403312629399586
48370000,58,0.001438246847219351
48440000,54,0.001436168455821635
48510000,71,0.0014340960626674911
48580000,58,0.0014320296418279127
48650000,65,0.0014299691675231244
48720000,63,0.0014279146141215108
48790000,66,0.001425865956138553
48860000,51,0.0014238231682357756
48930000,63,0.0014217862252197016
49000000,59,0.0014197551020408163
49070000,56,0.0014177297737925413
49140000,54,0.0014157102157102157
49210000,60,0.0014136964031700875
49280000,62,0.0014116883116883116
49350000,65,0.0014096859169199594
49420000,54,0.0014076891946580331
49490000,63,0.0014056981208324915
49560000,62,0.0014037126715092817
49630000,54,0.0014017328228893814
49700000,75,0.0013997585513078471
49770000,55,0.0013977898332328711
49840000,54,0.0013958266452648476
49910000,76,0.0013938689641354437
49980000,49,0.0013919167667066827
50050000,54,0.00138997002997003
50120000,55,0.0013880287310454908
50190000,56,0.0013860928471807134
50260000,44,0.0013841623557500995
50330000,73,0.0013822372342539241
50400000,52,0.0013803174603174604
50470000,68,0.001378403011690113
50540000,67,0.0013764938662445588
50610000,65,0.001374590001975894
50680000,60,0.0013726913970007893
50750000,66,0.0013707980295566502
50820000,52,0.001368909878000787
50890000,60,0.0013670269208095893
50960000,55,0.001365149136577708
51030000,51,0.0013632765040172447
51100000,57,0.0013614090019569472
51170000,61,0.001359546609341411
51240000,71,0.0013576893052302888
51310000,48,0.0013558370687975054
51380000,67,0.0013539898793304788
51450000,56,0.001352147716229349
51520000,66,0.001350310559006211
51590000,67,0.0013484783872843575
51660000,66,0.0013466511807975223
51730000,54,0.001344828919389136
51800000,47,0.001343011583011583
51870000,60,0.0013411991517254674
51940000,60,0.0013393916056988833
52010000,59,0.001337588925206691
52080000,65,0.0013357910906298003
52150000,64,0.0013339980824544583
52220000,65,0.0013322098812715434
52290000,43,0.0013304264677758654
52360000,61,0.0013286478227654698
52430000,49,0.0013268739271409498
52500000,52,0.0013251047619047618
52570000,52,0.0013233403081605478
52640000,51,0.001321580547112462
52710000,60,0.0013198254600645038
52780000,60,0.001318075028419856
52850000,52,0.001316329233680227
52920000,53,0.0013145880574452003
52990000,38,0.001312851481411587
53060000,50,0.0013111194873727855
53130000,59,0.0013093920572181442
53200000,67,0.0013076691729323308
53270000,57,0.0013059508165947063
53340000,54,0.0013042369703787026
53410000,68,0.0013025276165512076
53480000,53,0.001300822737471952
53550000,60,0.0012991223155929038
53620000,52,0.001297426333457665
53690000,58,0.0012957347737008755
53760000,69,0.0012940476190476191
53830000,56,0.0012923648523128367
53900000,58,0.0012906864564007422
53970000,51,0.001289012414304243
54040000,63,0.0012873427091043672
54110000,61,0.0012856773239696914
54180000,47,0.001284016242155777
54250000,58,0.0012823594470046083
54320000,62,0.0012807069219440354
54390000,87,0.0012790586504872218
54460000,68,0.001277414616232097
54530000,49,0.0012757748028608105
54600000,61,0.0012741391941391942
54670000,72,0.0012725077739162247
54740000,64,0.001270880526123493
54810000,49,0.001269257434774676
54880000,45,0.0012676384839650145
54950000,47,0.0012660236578707917
55020000,61,0.0012644129407488186
55090000,51,0.001262806316935923
55160000,65,0.0012612037708484409
55230000,56,0.001259605286981713
55300000,50,0.001258010849909584
55370000,45,0.0012564204442839083
55440000,50,0.0012548340548340549
55510000,52,0.0012532516663664205
55580000,52,0.0012516732637639439
55650000,68,0.0012500988319856245
55720000,37,0.0012485283560660445
55790000,54,0.001246961821114895
55860000,52,0.0012453992123165056
55930000,54,0.001243840514929376
56000000,54,0.0012422857142857142
56070000,56,0.0012407347957909755
56140000,48,0.0012391877449234058
56210000,50,0.0012376445472335883
56280000,60,0.0012361051883439944
56350000,49,0.001234569653948536
56420000,44,0.0012330379298121233
56490000,48,0.001231510001770225
56560000,59,0.00122998585572843
56630000,55,0.0012284654776620167
56700000,61,0.0012269488536155203
56770000,55,0.0012254359697023076
56840000,65,0.001223926812104152
56910000,48,0.0012224213670708136
56980000,56,0.0012209196209196208
57050000,61,0.001219421560035057
57120000,51,0.0012179271708683474
57190000,61,0.0012164364399370518
57260000,60,0.0012149493538246593
57330000,41,0.001213465899180185
57400000,62,0.00121198606271777
57470000,55,0.0012105098312162868
57540000,51,0.0012090371915189433
57610000,47,0.0012075681305328935
57680000,57,0.0012061026352288488
57750000,59,0.0012046406926406927
57820000,53,0.0012031822898650986
57890000,67,0.0012017274140611505
57960000,57,0.0012002760524499655
58030000,51,0.0011988281923143202
58100000,57,0.001197383820998279
58170000,43,0.001195942925906825
58240000,47,0.0011945054945054945
58310000,53,0.0011930715143200136
58380000,48,0.001191640972935937
58450000,45,0.001190213857998289
58520000,50,0.0011887901572112099
58590000,55,0.0011873698583376002
58660000,59,0.0011859529491987726
58730000,49,0.0011845394176741018
58800000,43,0.0011831292517006803
58870000,57,0.0011817224392729744
58940000,46,0.0011803189684424838
59010000,46,0.0011789188273174038
59080000,55,0.0011775220040622883
59150000,60,0.0011761284868977177
59220000,52,0.0011747382640999663
59290000,44,0.0011733513240006746
59360000,51,0.0011719676549865228
59430000,48,0.0011705872454989062
59500000,49,0.0011692100840336134
59570000,56,0.001167836159140507
59640000,50,0.0011664654594232059
59710000,48,0.0011650979735387708
59780000,59,0.0011637336901973905
59850000,52,0.0011623725981620718
59920000,51,0.001161014686248331
59990000,51,0.0011596599433238873
60060000,52,0.0011583083583083583
60130000,48,0.0011569599201729586
60200000,53,0.0011556146179401993
60270000,56,0.0011542724406835906
60340000,47,0.001152933377527345
60410000,50,0.0011515974176460851
60480000,46,0.0011502645502645503
60550000,41,0.001148934764657308
60620000,48,0.001147608050148466
60690000,49,0.0011462843961113857
60760000,51,0.0011449637919684003
60830000,47,0.001143646227190531
60900000,46,0.0011423316912972086
60970000,56,0.0011410201738559947
61040000,41,0.0011397116644823067
61110000,38,0.0011384061528391426
61180000,55,0.0011371036286368095
61250000,59,0.0011358040816326531
61320000,40,0.0011345075016307893
61390000,54,0.0011332138784818375
61460000,52,0.0011319232020826555
61530000,41,0.0011306354623760767
61600000,60,0.0011293506493506493
61670000,47,0.0011280687530403762
61740000,41,0.0011267897635244574
61810000,48,0.0011255136709270345
61880000,58,0.001124240465416936
61950000,49,0.0011229701372074254
62020000,39,0.0011217026765559497
62090000,53,0.0011204380737638911
62160000,45,0.0011191763191763192
62230000,49,0.001117917403181745
62300000,57,0.001116661316211878
62370000,55,0.001115408048741382
62440000,43,0.0011141575912876362
62510000,56,0.0011129099344104943
62580000,35,0.0011116650687120486
62650000,56,0.0011104229848363926
62720000,59,0.0011091836734693878
62790000,41,0.0011079471253384297
62860000,49,0.0011067133312122176
62930000,43,0.0011054822819005245
